Designator,Mid X,Mid Y,Layer,Rotation
J5,157.750000,-111.000000,bottom,270.000000
C1,146.500000,-112.500000,top,270.000000
C2,126.000000,-98.500000,top,0.000000
C3,139.250000,-115.000000,top,0.000000
C4,134.750000,-112.750000,top,0.000000
C5,134.750000,-110.000000,top,0.000000
C6,134.750000,-107.000000,top,0.000000
C7,119.000000,-101.500000,top,0.000000
C8,136.750000,-104.750000,top,180.000000
C9,151.500000,-110.250000,top,0.000000
C10,148.250000,-110.500000,top,270.000000
C11,147.750000,-104.000000,top,180.000000
C12,146.850000,-106.550000,top,90.000000
C13,142.500000,-115.000000,top,180.000000
C14,153.500000,-113.750000,top,90.000000
C15,145.500000,-95.750000,top,270.000000
D1,136.500000,-95.900000,top,180.000000
D2,151.500000,-107.000000,top,90.000000
D3,151.250000,-104.000000,top,180.000000
D4,151.000000,-114.750000,top,180.000000
D5,151.000000,-112.750000,top,180.000000
FB1,136.000000,-99.250000,top,270.000000
J3,150.000000,-98.250000,top,270.000000
J4,157.750000,-111.000000,top,90.000000
J6,157.500000,-100.025000,top,90.000000
L1,149.000000,-107.000000,top,90.000000
Q1,118.905000,-114.000000,top,180.000000
Q2,125.655000,-114.000000,top,180.000000
Q3,118.905000,-109.500000,top,180.000000
Q4,125.655000,-109.500000,top,180.000000
Q5,118.905000,-105.000000,top,180.000000
Q6,125.655000,-105.000000,top,180.000000
R1,144.000000,-95.750000,top,90.000000
R2,131.250000,-111.750000,top,0.000000
R3,153.250000,-107.000000,top,270.000000
R4,131.250000,-113.500000,top,0.000000
R5,141.750000,-95.000000,top,0.000000
R6,145.000000,-99.250000,top,270.000000
R7,142.000000,-99.250000,top,270.000000
R8,139.000000,-99.250000,top,270.000000
R9,131.250000,-107.250000,top,0.000000
R10,131.250000,-109.000000,top,0.000000
R11,141.750000,-96.500000,top,180.000000
R12,143.500000,-99.250000,top,90.000000
R13,140.500000,-99.250000,top,90.000000
R14,137.500000,-99.250000,top,90.000000
R15,131.250000,-103.750000,top,0.000000
R16,131.250000,-105.500000,top,0.000000
R17,138.250000,-103.250000,top,0.000000
R18,134.000000,-100.500000,top,90.000000
R19,140.750000,-102.500000,top,90.000000
R20,140.000000,-104.750000,top,180.000000
R21,145.750000,-115.000000,top,0.000000
R22,148.250000,-113.750000,top,90.000000
R23,136.000000,-102.500000,top,90.000000
R24,145.250000,-104.000000,top,270.000000
R25,143.750000,-104.000000,top,270.000000
R26,144.750000,-101.750000,top,0.000000
U1,141.000000,-109.900000,top,180.000000